target,run,prompt_n,prompt_ms,prefill_tps,completion_n,completion_ms,decode_tps,cache_n,prefix_n,disk_restore_n,disk_restore_ms,draft_n,draft_n_accepted,reasoning_tokens,wall_seconds
8192,1,8293,7802.0,1062.933,1000,24554.6,40.726,0,4,0,0.0,500,549,0,32.37498648099972
32768,1,32869,29867.6,1100.49,1000,22987.0,43.503,0,8233,0,0.0,507,574,0,52.903621120000025
65536,1,65637,60563.1,1083.779,1000,23563.5,42.439,0,32809,0,0.0,476,562,0,84.30112173299949
131072,1,131173,124892.8,1050.285,1000,24414.3,40.96,0,65578,0,0.0,515,556,0,149.55414018400006
8192,2,8298,7766.9,1068.38,1000,24239.1,41.256,0,4,0,0.0,480,549,0,32.02479303799919
32768,2,32875,29944.6,1097.861,1000,22990.7,43.496,0,10,0,0.0,480,568,0,52.98299515399958
65536,2,65643,60470.1,1085.545,1000,24007.3,41.654,0,10,0,0.0,491,551,0,84.58529171999999
131072,2,131180,124822.5,1050.932,1000,23891.7,41.856,0,10,0,0.0,470,556,0,148.9305745290003
8192,3,8298,8138.6,1019.586,1000,24336.3,41.091,0,8,0,0.0,499,539,0,32.49285761699957
32768,3,32875,29958.2,1097.362,1000,22719.4,44.015,0,10,0,0.0,462,568,0,52.74673161899955
65536,3,65643,60521.8,1084.617,1000,23410.6,42.716,0,10,0,0.0,509,552,0,84.04173207599979
131072,3,131180,124888.5,1050.377,1000,23172.2,43.155,0,10,0,0.0,501,566,0,148.27807757100072
